window_id,window_start,window_end_exclusive,predictor,response,method,rain_definition,predictor_transformation,response_transformation,lag_sign_convention,searched_lag_min_days,searched_lag_max_days,peak_lag_days,peak_correlation,peak_pair_count,bootstrap_block_length_observations,bootstrap_replicates,conditional_peak_correlation_ci_low,conditional_peak_correlation_ci_high,prewhitening_ar1_phi
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P2,mid_E2_B,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,30,0.47124752851652174,2335,30,500,0.18875327941887196,0.6715558680347471,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P2,mid_E2_B,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,3,-0.07801120087760251,2366,30,500,-0.14633989852344956,-0.034709924327428046,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P2,mid_E2_B,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,3,-0.09481084430753717,2341,30,500,-0.17726306285173124,-0.03517993850577823,0.41537194770594904
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_E2_B,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.6026231599959467,2414,30,500,0.3805059921333322,0.7300017340250469,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_E2_B,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,30,0.0936079590919118,2281,30,500,-0.07137638146353034,0.19362106506637827,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_E2_B,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,30,0.10388600985899103,2271,30,500,-0.04417689621527865,0.21613092686857135,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_E2_B,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.07251276321984192,2348,30,500,0.042205094009580925,0.15523724758622617,0.3878109567019985
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_E2_B,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.07687745082643013,2309,30,500,0.047318859392897414,0.1712477955719389,0.37658929352759324
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_M1_A,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,30,-0.4399730429573208,3177,30,500,-0.5505138977243482,-0.3209860266895168,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_M1_A,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.43178521861919117,2931,30,500,0.36108601606806295,0.5049638334093389,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_M1_A,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.4341598872901374,3188,30,500,0.35958138836493286,0.5132774221617104,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_M1_A,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.34158950001760086,2911,30,500,0.23904279182765917,0.4423168884241038,0.37303090879141854
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_M1_A,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.33716362066284833,3151,30,500,0.19640029277079982,0.4464847618163352,0.37014556968975326
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_P7_B,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.1932184674324515,3247,30,500,0.06905779073373992,0.307506188346732,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_P7_B,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.3736806186427857,2931,30,500,0.3063744421147976,0.44812264751121056,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_P7_B,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.3760322377301413,3188,30,500,0.30576646357633036,0.4448725432210968,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_P7_B,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.27245151363098336,2911,30,500,0.16121218585330177,0.3866294805931383,0.37303090879141854
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_P7_B,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.27206493252083147,3151,30,500,0.1664092962660682,0.3671817191514347,0.37014556968975326
toe_pre_topple_long,2006-11-30,2016-01-22,toe_M1_A,toe_E5_C,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,0,-0.17084741167573111,3240,30,500,-0.280381603327473,-0.05766258674182961,
toe_pre_topple_long,2006-11-30,2016-01-22,toe_M1_A,toe_E5_C,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,-0.11664438886764818,3211,30,500,-0.26699458254425307,-0.07953816725489518,
toe_pre_topple_long,2006-11-30,2016-01-22,toe_M1_A,toe_E5_C,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,-0.11511305398024421,3184,30,500,-0.2728455138211473,-0.08093827302896821,-0.05343428491338296
toe_pre_topple_long,2006-11-30,2016-01-22,toe_P7_B,toe_E5_C,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,30,0.21568808219638597,3139,30,500,0.0031718075144373807,0.41264959031119486,
toe_pre_topple_long,2006-11-30,2016-01-22,toe_P7_B,toe_E5_C,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,-0.06663931224143882,3211,30,500,-0.1945322461241284,-0.025849366945330545,
toe_pre_topple_long,2006-11-30,2016-01-22,toe_P7_B,toe_E5_C,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,-0.06814005143834878,3184,30,500,-0.18793017512895246,-0.028126348875031782,0.05626626591314699
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_E5_C,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.6610994881153087,3231,30,500,0.5004533278442155,0.7583989915608778,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_E5_C,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,2,0.1886959955409638,2897,30,500,0.10672006138148826,0.2882034957714779,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_E5_C,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,2,0.19291029150882752,3155,30,500,0.11445910433862072,0.29286952454679255,
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_E5_C,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,2,0.14798012930708612,2865,30,500,0.09904057541218776,0.2066292579283531,0.37303090879141854
toe_pre_topple_long,2006-11-30,2016-01-22,mid_R,toe_E5_C,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,2,0.15504660923058242,3105,30,500,0.10732828998070831,0.21135431943115146,0.37014556968975326
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_M1_A,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,30,-0.4588462096908813,342,30,500,-0.8402345118890684,-0.2820727241366002,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_M1_A,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.5175538276300813,369,30,500,0.4233290909864933,0.7123136227341331,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_M1_A,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.47473628650914484,369,30,500,0.3929003167329873,0.6707219776999496,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_M1_A,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.5193938876786282,366,30,500,0.45228292544332965,0.6198599744548007,0.45593605303459955
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_M1_A,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.5231876073499507,365,30,500,0.43890231953848985,0.6396291275706787,0.46649354461481973
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_P7_B,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.397734726601554,372,30,500,-0.12112780328689861,0.6180390815911746,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_P7_B,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.4580665343572063,369,30,500,0.17967386884956385,0.5760398249908075,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_P7_B,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.47737796212570105,369,30,500,0.20874911294632353,0.5881947266721721,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_P7_B,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.4541519221876114,366,30,500,0.11961233531057472,0.6049638836582988,0.45593605303459955
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_P7_B,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,0.494933374559045,365,30,500,0.14196467728312714,0.6221965813882273,0.46649354461481973
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_M1_A,toe_E5_C,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,30,0.3568288539330185,310,30,500,0.25947837008740954,0.740758538334882,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_M1_A,toe_E5_C,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,0,-0.04878322650507147,367,30,500,-0.19269360250769785,-0.015534381385176906,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_M1_A,toe_E5_C,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,17,-0.05495903456385359,329,30,500,-0.26678864604854274,0.024336698099865193,0.11815447963563319
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_P7_B,toe_E5_C,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,30,0.5552748727688339,310,30,500,0.07209757494091705,0.7088063080390443,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_P7_B,toe_E5_C,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,21,0.052724849539252584,325,30,500,0.016403728704945136,0.11107443653157441,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,toe_P7_B,toe_E5_C,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,19,0.042862318201806,325,30,500,0.020781808201867983,0.17279866619681183,0.07216265054853234
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_E5_C,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,5,0.5123652900925032,365,30,500,0.24799960410898064,0.6742783956111912,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_E5_C,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,18,0.2941638950149267,347,30,500,-0.04822329877350607,0.4677047184044566,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_E5_C,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,18,0.30933437038486183,347,30,500,-0.057486656360033396,0.4905625603958006,
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_E5_C,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,14,0.21144429984779417,346,30,500,-0.1291608139417152,0.3512838269767481,0.45593605303459955
toe_pre_topple_post_rain_resume,2016-01-28,2017-03-16,mid_R,toe_E5_C,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,14,0.2212990245656545,345,30,500,-0.11745858418484108,0.3831296672610442,0.46649354461481973
