"sensor_id","instrument_name","site_location","measured_variable","instrument_type","manufacturer_model","sensor_depth_m","units","measurement_datum","instrument_range","timestamp_timezone","daylight_saving_treatment","nominal_sampling_interval","start_date","end_date","missing_outage_notes","maintenance_instrument_change_notes","source_record","source_file","evidence_url","metadata_completeness","unresolved_fields","phase2_recommendation"
"mid_P6","mid downslope deep driven piezometer P6","middle site (mid)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in sand-tipped open steel pipe","GE Druck PCDR1730","4.47","cm","equivalent water depth above sensor diaphragm","0 to 10 psi transducer range","PST","not_stated","15 minutes; daily median available","2011-10-26","2018-09-25","requires_file_inspection","sand-filled tip; no replacement stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","recommended later-period deep hydrologic predictor"
"mid_R","mid rain gauge R","middle site (mid)","precipitation including rainfall and snowmelt","tipping-spoon rain gauge","Pronamic Rain-O-Matic Professional","not_applicable","mm","water-year cumulative precipitation; reset to zero each October 1","one tip equals 0.254 mm; post-2017 range not stated","PST","not_stated","15 minutes; daily maximum available","1997-03-22","2018-09-25","site destroyed 2002-07-26 and resumed 2002-10-18; mechanical failure 2016-01-22 to 2016-01-27 used an estimate from Sly Park rain gauge; exact other gaps require file inspection","site destroyed by St. Pauli fire; mechanical failure on 2016-01-22; gauge resumed after stated intervals","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","identify estimated values; derive increments from cumulative values; exact gaps and archive member require file inspection","recommended primary precipitation and snowmelt predictor"
"toe_E3","toe downslope extensometer E3","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","1997-04-04","2001-06-21","requires_file_inspection","no change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","exact gaps and archive member require file inspection","deferred; early response record"
"toe_E4_A","toe west extensometer E4_A","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","1997-04-04","1998-02-04","record ended with broken instrument","broken instrument","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","deferred; short predecessor record"
"toe_E4_B","toe west extensometer E4_B","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","1998-04-01","2001-06-21","requires_file_inspection","replacement after E4_A failure at the west toe site","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability with E4_A; exact gaps and archive member require file inspection","deferred; early response record"
"toe_E5_A","toe extensometer E5_A","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","2002-12-30","2005-03-28","requires_file_inspection","installation replaced by E5_B after a shallow failure","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability with later E5 installations; exact gaps and archive member require file inspection","deferred predecessor to toe primary response"
"toe_E5_B","toe extensometer E5_B","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","2005-03-28","2006-11-02","requires_file_inspection","new post installed after shallow failure; later replaced by E5_C","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability with E5_A and E5_C; exact gaps and archive member require file inspection","deferred predecessor to toe primary response"
"toe_E5_C","toe extensometer E5_C","toe site (toe)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-400","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1016 cm","PST","not_stated","15 minutes; daily median available","2006-11-30","2017-09-25","post toppled 2017-03-16 and was relocated 2017-04-25; topple event was removed from released data; exact other gaps require file inspection","post toppled to ground; released data omit topple event; post relocated before record end","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","discontinuity around relocation; exact gaps and archive member require file inspection","recommended primary co-located toe response through pre-topple segment; post-relocation segment deferred"
"toe_P7_A","toe shallow piezometer P7_A","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in slotted open PVC tube","USGS using Honeywell 26PCCFA3D","0.94","cm","equivalent water depth above sensor diaphragm","0 to 15 psi transducer range","PST","not_stated","15 minutes; daily median available","2004-11-19","2005-06-15","requires_file_inspection","initial location replaced after shallow failure","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability with relocated P7_B; exact gaps and archive member require file inspection","deferred predecessor to toe shallow predictor"
"toe_P7_B","toe shallow piezometer P7_B","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in slotted open PVC tube","USGS using Honeywell 26PCCFA3D","1.03","cm","equivalent water depth above sensor diaphragm","0 to 15 psi transducer range","PST","not_stated","15 minutes; daily median available","2005-06-15","2017-09-25","requires_file_inspection","new location after shallow failure","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","recommended primary shallow toe hydrologic predictor"
"toe_P8_A","toe east piezometer P8_A","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in sand-tipped open steel pipe","GE Druck PCDR1730","3.00","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2011-03-11","2011-09-28","requires_file_inspection","initial sand-filled tip installation","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across P8 relocations and depth changes; exact gaps and archive member require file inspection","deferred short predecessor"
"toe_P8_B","toe east piezometer P8_B","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in sand-tipped open steel pipe","GE Druck PCDR1730","2.41","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2011-10-25","2013-02-06","requires_file_inspection","same location as P8_A but jacked out and sand added beneath tip to make it shallower","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across P8 depth changes; exact gaps and archive member require file inspection","deferred predecessor"
"toe_P8_C","toe east piezometer P8_C","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in bead-tipped open steel pipe","GE Druck PCDR1730","2.36","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2013-02-06","2017-03-02","requires_file_inspection","new location 1.8 m west of previous installation with bead-filled tip","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","useful later-period toe hydrologic predictor"
"toe_P8_D","toe east piezometer P8_D","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in open steel pipe with tip","GE Druck PCDR1730","1.62","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2017-03-09","2017-09-25","requires_file_inspection","new location and new sensor after P8_C","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability with P8_C; exact gaps and archive member require file inspection","deferred short successor"
"toe_P9_A","toe west piezometer P9_A","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in sand-tipped open steel pipe","GE Druck PCDR1730","2.14","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2011-03-11","2011-10-25","requires_file_inspection","initial sand-filled tip installation","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across P9 relocations and depth changes; exact gaps and archive member require file inspection","deferred short predecessor"
"toe_P9_B","toe west piezometer P9_B","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in sand-tipped open steel pipe","GE Druck PCDR1730","3.03","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2011-10-25","2012-12-11","requires_file_inspection","same location as P9_A but driven deeper","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across P9 depth changes; exact gaps and archive member require file inspection","deferred predecessor"
"toe_P9_C","toe west piezometer P9_C","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in bead-tipped open steel pipe","GE Druck PCDR1730","2.94","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2012-12-11","2013-02-05","requires_file_inspection","bead-filled tip installed at same location","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across P9 tip and depth changes; exact gaps and archive member require file inspection","deferred very short predecessor"
"toe_P9_D","toe west piezometer P9_D","toe site (toe)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in bead-tipped open steel pipe","GE Druck PCDR1730","4.45","cm","equivalent water depth above sensor diaphragm","0 to 5 psi transducer range","PST","not_stated","15 minutes; daily median available","2013-02-05","2017-09-25","requires_file_inspection","new bead-filled-tip location 1.1 m east of previous installation","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","recommended later-period deep toe hydrologic predictor"
"toe_M1_A","toe volumetric water content sensor VWC","toe site (toe)","volumetric water content","Decagon EC-5 volumetric water content sensor","Decagon EC-5","not_stated","unitless","Decagon calibration formula for 5 V; stated range is 0 to 100 percent","0 to 100 percent","PST","not_stated","15 minutes; daily median available","2006-11-01","2017-05-17","requires_file_inspection","replaced by toe_M1_B on 2017-05-17","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","sensor depth and soil-specific calibration details not stated; exact gaps and archive member require file inspection","recommended primary toe soil-moisture predictor subject to calibration review"
"toe_M1_B","toe volumetric water content sensor VWC","toe site (toe)","volumetric water content","Decagon EC-5 volumetric water content sensor","Decagon EC-5","not_stated","unitless","Decagon calibration formula for 5 V; stated range is 0 to 100 percent","0 to 100 percent","PST","not_stated","15 minutes; daily median available","2017-05-17","2017-09-25","requires_file_inspection","successor to toe_M1_A; no other change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","continuity with toe_M1_A; sensor depth and soil-specific calibration details not stated; exact gaps and archive member require file inspection","deferred short successor pending continuity check"
