candidate_group_id,run_id,window_id,target_id,segment_id,water_year,candidate_date,candidate_date_range_start,candidate_date_range_end,supporting_setting_count,supporting_methods,sensitivity_stability,context_classification,nearest_context_date,nearest_context_type,context_offset_days,interpretation_limit
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-07-14,2014-07-14,2014-07-14,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-08-13,2014-08-13,2014-08-13,2,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-11-03,2014-11-03,2014-11-03,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-12-04,2014-12-04,2014-12-04,2,Binseg_l2,within_method_only,event_aligned,2014-12-05,run_q95_displacement_episode,-1,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2015-01-03,2015-01-03,2015-01-03,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2007-01-27,2007-01-27,2007-01-27,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2007-02-27,2007-02-27,2007-02-27,3,Binseg_l2,within_method_only,event_aligned,2007-02-27,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2007-04-02,2007-04-02,2007-04-02,2,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2008-02-18,2008-02-18,2008-02-18,2,Binseg_l2,within_method_only,event_aligned,2008-02-22,run_q95_displacement_episode,-4,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2008-05-29,2008-05-29,2008-05-29,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2008-08-16,2008-08-16,2008-08-16,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-03-21,2009-03-21,2009-03-21,3,Binseg_l2,within_method_only,event_aligned,2009-03-22,run_q95_displacement_episode,-1,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-05-04,2009-05-04,2009-05-04,1,Binseg_l2,unstable,event_aligned,2009-05-02,run_q95_displacement_episode,2,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-08-31,2009-08-31,2009-08-31,2,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-03-05,2010-03-05,2010-03-05,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-04-22,2010-04-22,2010-04-22,4,Binseg_l2;PELT_l2,method_stable,event_aligned,2010-04-23,run_q95_displacement_episode,-1,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-06-03,2010-06-03,2010-06-04,5,Binseg_l2;PELT_l2,method_stable,event_aligned,2010-06-01,run_q95_displacement_episode,2,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2012-01-24,2012-01-24,2012-01-24,1,Binseg_l2,unstable,event_aligned,2012-01-24,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2012-03-11,2012-03-11,2012-03-11,2,Binseg_l2,within_method_only,event_aligned,2012-03-06,run_q95_displacement_episode,5,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2012-04-14,2012-04-14,2012-04-14,3,Binseg_l2,within_method_only,event_aligned,2012-04-14,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-02-27,2014-02-27,2014-02-27,2,Binseg_l2,within_method_only,event_aligned,2014-02-27,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-03-31,2014-03-31,2014-03-31,3,Binseg_l2,within_method_only,event_aligned,2014-03-30,run_q95_displacement_episode,1,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-05-02,2014-05-02,2014-05-02,1,Binseg_l2,unstable,event_aligned,2014-04-25,run_q95_displacement_episode,7,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1__c01,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-12-13,2014-12-13,2014-12-13,1,Binseg_l2,unstable,event_aligned,2014-12-12,run_q95_displacement_episode,1,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1__c02,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2015-04-18,2015-04-18,2015-04-18,2,Binseg_l2,within_method_only,event_aligned,2015-04-25,run_q95_displacement_episode,-7,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1__c03,toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2015-05-25,2015-05-25,2015-05-25,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1__c01,toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-04-04,2016-04-04,2016-04-04,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1__c02,toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-05-23,2016-05-23,2016-05-23,2,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1__c03,toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-08-23,2016-08-23,2016-08-23,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
